time,traffic_light_id,state
1.0,10004196795,
1.0,1138151997,GGGG
1.0,1890576857,G
1.0,1890576860,G
1.0,5844915579,G
1.0,5844915598,G
1.0,9583476750,G
1.0,9583476751,GGG
1.0,9583476754,GG
1.0,9583476755,GG
1.0,9583476759,GGGG
1.0,9583476760,GGGG
1.0,9583476762,GG
1.0,9583476763,GGGG
1.0,9932496816,GG
1.0,9932519018,GGG
1.0,9932519019,GG
1.0,9932519023,GGG
1.0,9932519024,GGG
1.0,9932519025,GG
1.0,9932519026,GGGG
1.0,9932519027,GGG
1.0,9932519028,GG
1.0,9932519029,GGG
1.0,GS_5852218193,rGG
1.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,rGGGrrrrrrrrrGGGrrrrrrr
1.0,cluster_1684400223_1684400227_4897332520_5885681510_#5more,rrrGGGgGGGrrrrrrr
1.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,rrrGGGrrrrGGGrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
1.0,joinedS_2719722316_2719722319_2719722324_2719722327,GGGrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
1.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,gggGggGrrrGGrrGgggGggGggGrrGgggGgrrrGgGggGrrrrGggggggGggGrrGGrrrGgggGggGggGrrrGgggGrrGgggGggGgGgrrrrGgrrrGgGgrrrrGg
1.0,joinedS_9496741742_cluster_10298618339_2555369366_cluster_10298633587_10298633588_9496741760_9498347614_#2more,Grrrrrrrrrrrrrr
2.0,10004196795,
2.0,1138151997,GGGG
2.0,1890576857,G
2.0,1890576860,G
2.0,5844915579,G
2.0,5844915598,G
2.0,9583476750,G
2.0,9583476751,GGG
2.0,9583476754,GG
2.0,9583476755,GG
2.0,9583476759,GGGG
2.0,9583476760,GGGG
2.0,9583476762,GG
2.0,9583476763,GGGG
2.0,9932496816,GG
2.0,9932519018,GGG
2.0,9932519019,GG
2.0,9932519023,GGG
2.0,9932519024,GGG
2.0,9932519025,GG
2.0,9932519026,GGGG
2.0,9932519027,GGG
2.0,9932519028,GG
2.0,9932519029,GGG
2.0,GS_5852218193,rGG
2.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,rGGGrrrrrrrrrGGGrrrrrrr
2.0,cluster_1684400223_1684400227_4897332520_5885681510_#5more,rrrGGGgGGGrrrrrrr
2.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,rrrGGGrrrrGGGrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
2.0,joinedS_2719722316_2719722319_2719722324_2719722327,GGGrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
2.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,gggGggGrrrGGrrGgggGggGggGrrGgggGgrrrGgGggGrrrrGggggggGggGrrGGrrrGgggGggGggGrrrGgggGrrGgggGggGgGgrrrrGgrrrGgGgrrrrGg
2.0,joinedS_9496741742_cluster_10298618339_2555369366_cluster_10298633587_10298633588_9496741760_9498347614_#2more,Grrrrrrrrrrrrrr
3.0,10004196795,
3.0,1138151997,GGGG
3.0,1890576857,G
3.0,1890576860,G
3.0,5844915579,G
3.0,5844915598,G
3.0,9583476750,G
3.0,9583476751,GGG
3.0,9583476754,GG
3.0,9583476755,GG
3.0,9583476759,GGGG
3.0,9583476760,GGGG
3.0,9583476762,GG
3.0,9583476763,GGGG
3.0,9932496816,GG
3.0,9932519018,GGG
3.0,9932519019,GG
3.0,9932519023,GGG
3.0,9932519024,GGG
3.0,9932519025,GG
3.0,9932519026,GGGG
3.0,9932519027,GGG
3.0,9932519028,GG
3.0,9932519029,GGG
3.0,GS_5852218193,rGG
3.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,rGGGrrrrrrrrrGGGrrrrrrr
3.0,cluster_1684400223_1684400227_4897332520_5885681510_#5more,rrrGGGgGGGrrrrrrr
3.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,rrrGGGrrrrGGGrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
3.0,joinedS_2719722316_2719722319_2719722324_2719722327,GGGrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
3.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,gggGggGrrrGGrrGgggGggGggGrrGgggGgrrrGgGggGrrrrGggggggGggGrrGGrrrGgggGggGggGrrrGgggGrrGgggGggGgGgrrrrGgrrrGgGgrrrrGg
3.0,joinedS_9496741742_cluster_10298618339_2555369366_cluster_10298633587_10298633588_9496741760_9498347614_#2more,Grrrrrrrrrrrrrr
4.0,10004196795,
4.0,1138151997,GGGG
4.0,1890576857,G
4.0,1890576860,G
4.0,5844915579,G
4.0,5844915598,G
4.0,9583476750,G
4.0,9583476751,GGG
4.0,9583476754,GG
4.0,9583476755,GG
4.0,9583476759,GGGG
4.0,9583476760,GGGG
4.0,9583476762,GG
4.0,9583476763,GGGG
4.0,9932496816,GG
4.0,9932519018,GGG
4.0,9932519019,GG
4.0,9932519023,GGG
4.0,9932519024,GGG
4.0,9932519025,GG
4.0,9932519026,GGGG
4.0,9932519027,GGG
4.0,9932519028,GG
4.0,9932519029,GGG
4.0,GS_5852218193,rGG
4.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,rGGGrrrrrrrrrGGGrrrrrrr
4.0,cluster_1684400223_1684400227_4897332520_5885681510_#5more,rrrGGGgGGGrrrrrrr
4.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,rrrGGGrrrrGGGrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
